Nombre,Precio,CantidadEnStock
Producto 1,81,71,14
Producto 2,50,18,9
Producto 3,31,93,14
Producto 4,39,87,48
Producto 5,94,41,53
Producto 6,78,68,37
Producto 7,56,87,46
Producto 8,47,58,35
Producto 9,79,89,99
Producto 10,22,54,7
Producto 11,43,61,27
Producto 12,89,82,62
Producto 13,89,49,3
Producto 14,36,86,70
Producto 15,40,06,52
Producto 16,50,76,90
Producto 17,65,78,94
Producto 18,78,41,78
Producto 19,78,68,39
Producto 20,47,9,28
Producto 21,85,2,88
Producto 22,35,04,47
Producto 23,41,08,72
Producto 24,42,32,20
Producto 25,78,04,43
Producto 26,60,12,89
Producto 27,72,41,57
Producto 28,53,54,35
Producto 29,43,34,99
Producto 30,67,15,28
Producto 31,70,59,68
Producto 32,97,16,84
Producto 33,30,41,87
Producto 34,31,65,60
Producto 35,11,01,58
Producto 36,62,86,94
Producto 37,67,26,23
Producto 38,80,89,76
Producto 39,39,44,65
Producto 40,94,12,4
Producto 41,95,54,87
Producto 42,54,67,12
Producto 43,42,05,64
Producto 44,61,44,97
Producto 45,29,32,76
Producto 46,54,42,57
Producto 47,83,31,56
Producto 48,19,17,77
Producto 49,29,88,78
Producto 50,50,97,29
Producto 51,11,24,10
Producto 52,14,54,52
Producto 53,50,37,94
Producto 54,27,63,28
Producto 55,81,75,80
Producto 56,11,08,26
Producto 57,27,4,25
Producto 58,60,38,32
Producto 59,17,35,36
Producto 60,67,36,88
Producto 61,83,47,92
Producto 62,46,33,20
Producto 63,77,72,99
Producto 64,54,85,49
Producto 65,22,99,88
Producto 66,59,07,82
Producto 67,47,93,71
Producto 68,51,95,97
Producto 69,41,4,62
Producto 70,22,18,18
Producto 71,80,42,8
Producto 72,11,81,87
Producto 73,51,21,61
Producto 74,17,2,41
Producto 75,35,15,65
Producto 76,65,72,38
Producto 77,62,9,41
Producto 78,29,49,64
Producto 79,40,87,94
Producto 80,94,43,41
Producto 81,98,03,46
Producto 82,44,78,32
Producto 83,87,03,18
Producto 84,20,04,30
Producto 85,78,93,21
Producto 86,70,09,55
Producto 87,35,53,87
Producto 88,26,86,18
Producto 89,74,38,95
